ticker,name,volume,trading_value,change_pct,score_trading,news_count,score_news,sector,theme_rank,score_theme,score_valuation,score_total,grade
272210,한화시스템,3701380,433662783450,9.49,9.336353980397522,0.0,50.0,전기·전자,2,90.0,0.0,35.30090619411926,D
457550,우진엔텍,1406875,42249323475,1.21,0.9303953219986543,0.0,50.0,일반서비스,6,50.0,50.0,35.279118596599595,D
000400,롯데손해보험,11718143,27199954024,29.95,0.8292333225990874,0.0,50.0,보험,1,100.0,0.0,35.24876999677973,D
005880,대한해운,9093190,21123377899,-2.95,0.6434491866488578,0.0,50.0,운송·창고,11,0.0,100.0,35.19303475599466,D
006360,GS건설,1005673,22997518025,2.68,0.5107889567873357,0.0,50.0,건설,11,0.0,100.0,35.1532366870362,D
085620,미래에셋생명,1841846,21698405595,29.98,0.5009048547215574,0.0,50.0,보험,1,100.0,0.0,35.15027145641647,D
025980,아난티,2075593,18426192885,-0.9,0.43603134588907955,0.0,50.0,일반서비스,6,50.0,50.0,35.130809403766726,D
158430,아톤,1565485,12525169350,0.0,0.29914890654043863,0.0,50.0,IT 서비스,11,0.0,100.0,35.08974467196213,D
050090,비케이홀딩스,1737250,1190577642,29.94,0.060814231690065446,0.0,50.0,일반서비스,6,50.0,50.0,35.01824426950702,D
010170,대한광통신,57335353,235397278426,14.97,6.248362913283003,0.0,50.0,전기·전자,2,90.0,0.0,34.3745088739849,D
066570,LG전자,1906702,235950644350,2.06,5.076734653880125,0.0,50.0,전기·전자,2,90.0,0.0,34.023020396164036,D
001440,대한전선,5095342,168434649675,0.77,3.70329765969448,0.0,50.0,전기·전자,2,90.0,0.0,33.61098929790835,D
055550,신한지주,1540884,156503430200,1.69,3.372666897219522,0.0,50.0,기타금융,7,40.0,50.0,33.51180006916586,D
086790,하나금융지주,1186291,154532944650,3.96,3.323024736258742,0.0,50.0,기타금융,7,40.0,50.0,33.49690742087762,D
080220,제주반도체,3068623,140451594775,-2.04,3.0625666072573887,0.0,50.0,전기·전자,2,90.0,0.0,33.41876998217722,D
043260,성호전자,4882285,113005852325,9.0,2.5153025746256508,0.0,50.0,전기·전자,2,90.0,0.0,33.254590772387694,E
034020,두산에너빌리티,12069557,1259575276050,5.18,27.14886843791996,0.0,50.0,기계·장비,5,60.0,0.0,33.14466053137599,E
316140,우리금융지주,2382913,96042520175,3.55,2.099759326787277,0.0,50.0,기타금융,7,40.0,50.0,33.129927798036185,E
388050,지투파워,7827184,84577554495,10.12,1.9712130054596513,0.0,50.0,전기·전자,2,90.0,0.0,33.09136390163789,E
024060,흥구석유,24445804,447000047310,24.36,10.064023432494603,0.0,50.0,유통,3,80.0,0.0,33.01920702974838,E
152550,한국ANKOR유전,64574780,14774694244,29.51,1.6924733777882957,0.0,50.0,기타금융,7,40.0,50.0,33.00774201333649,E
088980,맥쿼리인프라,4998227,58854217355,2.25,1.3616002328084182,0.0,50.0,기타금융,7,40.0,50.0,32.908480069842525,E
067310,하나마이크론,1405796,48292365875,0.43,1.0593957463593455,0.0,50.0,전기·전자,2,90.0,0.0,32.817818723907806,E
138930,BNK금융지주,1446489,32808985025,2.26,0.7296828444374822,0.0,50.0,기타금융,7,40.0,50.0,32.718904853331246,E
417200,LS머트리얼즈,1448850,23417166835,-2.48,0.5292109312798254,0.0,50.0,전기·전자,2,90.0,0.0,32.65876327938395,E
456010,아이씨티케이,1201484,21730359410,8.29,0.4879148862537713,0.0,50.0,전기·전자,2,90.0,0.0,32.646374465876136,E
212710,아이에스티이,1975568,19399573780,-2.44,0.4546781455490892,0.0,50.0,전기·전자,2,90.0,0.0,32.636403443664726,E
294630,서남,3070272,16179233425,-2.03,0.4092942241848001,0.0,50.0,전기·전자,2,90.0,0.0,32.622788267255444,E
307180,아이엘,2713145,15891384130,3.87,0.39552349929798836,0.0,50.0,전기·전자,2,90.0,0.0,32.6186570497894,E
252990,샘씨엔에스,1266742,14420166180,-7.06,0.3332301162110199,0.0,50.0,전기·전자,2,90.0,0.0,32.59996903486331,E
200470,에이팩트,1668642,13797692725,4.48,0.3285207084549743,0.0,50.0,전기·전자,2,90.0,0.0,32.598556212536494,E
047050,포스코인터내셔널,2049003,153601674400,8.82,3.3215609664941943,0.0,50.0,유통,3,80.0,0.0,30.996468289948258,E
006910,보성파워텍,39237756,478475232725,29.92,11.051861319842516,0.0,50.0,금속,4,70.0,0.0,30.815558395952756,E
065170,비엘팜텍,12166064,59716426962,-7.5,1.5330477162438736,0.0,50.0,유통,3,80.0,0.0,30.45991431487316,E
065500,오리엔트정공,15219214,43992163144,6.12,1.262509986795758,0.0,50.0,운송장비·부품,8,30.0,50.0,30.378752996038727,E
000440,중앙에너비스,1939745,38310434335,17.31,0.8576742733341365,0.0,50.0,유통,3,80.0,0.0,30.25730228200024,E
128820,대성산업,2638505,23522672530,4.12,0.5568635779791231,0.0,50.0,유통,3,80.0,0.0,30.167059073393737,E
263800,데이타솔루션,2404632,13265439990,1.75,0.3328706509989967,0.0,50.0,유통,3,80.0,0.0,30.0998611952997,E
001510,SK증권,319579293,609472194195,18.37,19.83424501626137,0.0,50.0,증권,11,0.0,50.0,28.45027350487841,E
