ticker,name,volume,trading_value,close,change_pct,open,high,low
036540,SFA반도체,3735674,27431399425,7310,-2.14,7430,7510,7200
000400,롯데손해보험,11718143,27199954024,2525,29.95,1976,2525,1950
281740,레이크머티리얼즈,1155275,26892090200,22950,-5.94,24400,24400,22850
067290,JW신약,10761848,26627045168,2480,9.73,2300,2655,2250
079430,현대리바트,3207201,26023059840,7520,6.36,7110,8900,6980
289080,SV인베스트먼트,6725247,25996023195,3930,12.77,3485,4080,3465
028670,팬오션,4657986,25111745610,5350,-3.25,5600,5610,5300
050890,쏠리드,2590251,24767545620,9550,1.17,9630,9770,9310
474170,루미르,1281547,24706767050,18450,-2.17,19310,20250,18350
482630,삼양엔씨켐,1068174,23928317950,22650,11.3,20900,25000,20700
042370,비츠로테크,2000751,23802504670,11880,6.36,11280,12400,11240
078020,LS증권,2782000,23602551930,8160,-5.12,8970,9150,8080
128820,대성산업,2638505,23522672530,8850,4.12,8700,9200,8620
003000,부광약품,4257050,23463239335,5480,0.0,5530,5660,5270
417200,LS머트리얼즈,1448850,23417166835,16100,-2.48,16520,16530,15910
006360,GS건설,1005673,22997518025,22950,2.68,22500,23350,22300
139130,iM금융지주,1017316,21862993250,21650,5.61,20800,21800,20800
011690,와이투솔루션,2717538,21849307575,7890,-3.78,8200,8360,7710
456010,아이씨티케이,1201484,21730359410,18280,8.29,17120,18730,16880
085620,미래에셋생명,1841846,21698405595,12400,29.98,9610,12400,9450
005880,대한해운,9093190,21123377899,2305,-2.95,2420,2425,2280
041190,우리기술투자,2461084,20742354085,8460,1.68,8370,8600,8130
255220,SG,6646682,20089869127,3000,-4.31,3070,3130,2980
253590,네오셈,1227846,20066956270,16210,-3.28,16640,16760,16150
027360,아주IB투자,3936476,19742062131,4940,-2.56,5160,5280,4850
024740,한일단조,7798499,19720956521,2515,6.79,2415,2630,2410
212710,아이에스티이,1975568,19399573780,9180,-2.44,9400,10560,9050
357880,SKAI,8391123,19042778024,2285,9.33,2115,2430,2110
000540,흥국화재,3536596,18936475794,5760,29.88,4450,5760,4450
038530,케이바이오,42096619,18670671168,458,13.93,402,479,388
025980,아난티,2075593,18426192885,8800,-0.9,8830,9080,8760
323350,다원넥스뷰,1001541,17943717875,18700,28.08,14550,18910,14440
005690,파미셀,1028560,17469511035,17120,-0.75,17050,17120,16780
092790,넥스틸,1369744,17379468045,12770,8.68,12510,12950,12190
056090,시지메드텍,7306204,17274042986,2305,6.47,2165,2480,2105
250060,모비스,2912956,17252249365,5860,2.63,5800,6100,5710
033340,좋은사람들,7791782,17013693771,2115,-4.3,2210,2290,2105
294630,서남,3070272,16179233425,5310,-2.03,5450,5630,5040
